V1	V2	V3	V4	V5	V6	V7	V8	V9
Foxh1	mmu-mir-667	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-668	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-679	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-758	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-882	NA	NA	Activation	23390484	literature		M.musculus
Foxo3	mmu-mir-874	NA	NA	Repression	23828572	literature		M.musculus
Gata1	mmu-mir-144	NA	NA	Activation	18303114	literature		M.musculus
Gata1	mmu-mir-451	NA	NA	Activation	18303114	literature		M.musculus
Gata3	mmu-mir-142	NA	NA	Activation	27837403	literature		M.musculus
Gata3	mmu-mir-144	NA	NA	Activation	27837403	literature		M.musculus
Gata3	mmu-mir-183	NA	NA	Repression	24556500	literature		M.musculus
Gata3	mmu-mir-223	NA	NA	Activation	27837403	literature		M.musculus
Gata3	mmu-mir-451a	NA	NA	Activation	27837403	literature		M.musculus
Gata3	mmu-mir-451b	NA	NA	Activation	27837403	literature		M.musculus
Gfi1	mmu-mir-196b	NA	NA	Repression	19278956	literature		M.musculus
Gfi1	mmu-mir-21	NA	NA	Repression	19278956	literature		M.musculus
Gfi1b	mmu-mir-142	NA	NA	Activation	27837403	literature		M.musculus
Gnrh1	mmu-mir-132	NA	NA	Activation	19356622	literature		M.musculus
Gnrh1	mmu-mir-212	NA	NA	Activation	19356622	literature		M.musculus
Grhl2	mmu-mir-122	NA	NA	Repression	25406394	literature		M.musculus
Grhl3	mmu-mir-21	NA	NA	Repression	22614019	literature		M.musculus
Hdac1	mmu-mir-133a-1	NA	NA	Repression	26371176	literature		M.musculus
Hdac1	mmu-mir-133a-2	NA	NA	Repression	26371176	literature		M.musculus
Hdac1	mmu-mir-1a-1	NA	NA	Repression	26371176	literature		M.musculus
Hdac1	mmu-mir-1a-2	NA	NA	Repression	26371176	literature		M.musculus
Hdac2	mmu-mir-133a-2	NA	NA	Repression	26371176	literature		M.musculus
Hdac2	mmu-mir-155	NA	NA	Repression	24996169	literature		M.musculus
Hdac2	mmu-mir-1a-1	NA	NA	Repression	26371176	literature		M.musculus
Hdac3	mmu-mir-10a	NA	NA	Repression	27292126	literature		M.musculus
Hdac4	mmu-mir-29a	NA	NA	Repression(feedback)	24096265	literature		M.musculus
Hes1	mmu-mir-9-1	NA	NA	Repression(feedback)	22840391	literature		M.musculus
Hes1	mmu-mir-9-2	NA	NA	Repression(feedback)	22840391	literature		M.musculus
Hif1a	mmu-mir-138	NA	NA	Activation	24244340	literature		M.musculus
Hif1a	mmu-mir-20a	NA	NA	Repression(feedback)	25485521	literature		M.musculus
Hif1a	mmu-mir-210	NA	NA	Activation(feedback)	26206559	literature		M.musculus
Hif1a	mmu-mir-322	NA	NA	Activation	20972335	literature		M.musculus
Hif1a	mmu-mir-489	NA	NA	Activation	26975439	literature		M.musculus
Hif1a	mmu-mir-687	NA	NA	Activation	25587069	literature		M.musculus
Hnf1a	mmu-mir-192	NA	NA	Activation	21887698	literature		M.musculus
Hnf1a	mmu-mir-194	NA	NA	Activation	21887698	literature		M.musculus
Hnf1a	mmu-mir-194-2	NA	NA	Activation	21887698	literature		M.musculus
Hnf1b	mmu-mir-199a	NA	NA	Regulation	27059371	literature		M.musculus
Hnf1b	mmu-mir-200a	NA	NA	Activation	26292219	literature		M.musculus
Hnf1b	mmu-mir-200b	NA	NA	Activation	26292219	literature		M.musculus
Hnf1b	mmu-mir-223	NA	NA	Regulation	27059371	literature		M.musculus
Hnf1b	mmu-mir-24	NA	NA	Regulation	27059371	literature		M.musculus
Hnf1b	mmu-mir-27b	NA	NA	Regulation	27059371	literature		M.musculus
Hnf1b	mmu-mir-429	NA	NA	Activation	26292219	literature		M.musculus
Hnf4a	mmu-mir-101b	NA	NA	Activation	28217257	literature		M.musculus
Hnf4a	mmu-mir-122	NA	NA	Activation(feedback)	26171734	literature		M.musculus
Hnf4a	mmu-mir-122	NA	NA	Activation(feedback)	28217257	literature		M.musculus
Hnf4a	mmu-mir-192	NA	NA	Activation	28217257	literature		M.musculus
Hnf4a	mmu-mir-193	NA	NA	Activation	28217257	literature		M.musculus
Hnf4a	mmu-mir-194-1	NA	NA	Regulation	28217257	literature		M.musculus
Hnf4a	mmu-mir-194-2	NA	NA	Activation	28217257	literature		M.musculus
Hnf4a	mmu-mir-215	NA	NA	Regulation	28217257	literature		M.musculus
Hnf4a	mmu-mir-29a	NA	NA	Activation(feedback)	26003733	literature		M.musculus
Hnf4a	mmu-mir-29b	NA	NA	Activation	26003733	literature		M.musculus
Hoxd13	mmu-mir-196b	NA	NA	Activation	26141604	literature		M.musculus
Hsf1	mmu-mir-34a	NA	NA	Repression	24123326	literature		M.musculus
Il1b	mmu-mir-223	NA	NA	Regulation	22937006	literature		M.musculus
Il6	mmu-mir-223	NA	NA	Regulation(feedback)	22937006	literature		M.musculus
Isl1	mmu-mir-218-1	NA	NA	Activation	26212498	literature		M.musculus
Isl1	mmu-mir-218-2	NA	NA	Activation	26212498	literature		M.musculus
Jmjd1c	mmu-mir-302a	NA	NA	Activation	22100412	literature		M.musculus
Jmjd1c	mmu-mir-302b	NA	NA	Activation	22100412	literature		M.musculus
Jmjd1c	mmu-mir-302c	NA	NA	Activation	22100412	literature		M.musculus
Jmjd1c	mmu-mir-302d	NA	NA	Activation	22100412	literature		M.musculus
Jmjd1c	mmu-mir-367	NA	NA	Activation	22100412	literature		M.musculus
Jun	mmu-mir-1	NA	NA	Repression	26619121	literature		M.musculus
Jun	mmu-mir-206	NA	NA	Activation	19721712	literature		M.musculus
Jun	mmu-mir-206	NA	NA	Repression	26619121	literature		M.musculus
Jun	mmu-mir-21	NA	NA	Activation	25898844	literature		M.musculus
Jun	mmu-mir-378	NA	NA	Activation	24675662	literature		M.musculus
Jun	mmu-mir-378	NA	NA	Activation	25142877	literature		M.musculus
Junb	mmu-mir-182	NA	NA	Activation	26458334	literature		M.musculus
Junb	mmu-mir-183	NA	NA	Activation	26458334	literature		M.musculus
Junb	mmu-mir-96	NA	NA	Activation	26458334	literature		M.musculus
Kat2a	mmu-mir-124-1	NA	NA	Activation	25306109	literature		M.musculus
Kat2a	mmu-mir-124-2	NA	NA	Activation	25306109	literature		M.musculus
Kat2a	mmu-mir-124-3	NA	NA	Activation	25306109	literature		M.musculus
Klf1	mmu-mir-142	NA	NA	Activation	27837403	literature		M.musculus
Klf1	mmu-mir-144	NA	NA	Activation	27837403	literature		M.musculus
Klf1	mmu-mir-451a	NA	NA	Activation	27837403	literature		M.musculus
Klf1	mmu-mir-451b	NA	NA	Activation	27837403	literature		M.musculus
Klf2	mmu-mir-150	NA	NA	Activation	25248747	literature		M.musculus
Klf4	mmu-mir-143	NA	NA	Repression	23430263	literature		M.musculus
Kmt2a	mmu-mir-23a	NA	NA	Activation	24824656	literature		M.musculus
Kmt2a	mmu-mir-23b	NA	NA	Activation	24824656	literature		M.musculus
Kmt2a	mmu-mir-24-1	NA	NA	Activation(feedback)	24824656	literature		M.musculus
Kmt2a	mmu-mir-24-2	NA	NA	Activation(feedback)	24824656	literature		M.musculus
Kmt2a	mmu-mir-27a	NA	NA	Activation(feedback)	24824656	literature		M.musculus
Kmt2a	mmu-mir-27b	NA	NA	Activation(feedback)	24824656	literature		M.musculus
Lhx3	mmu-mir-218-1	NA	NA	Activation	26212498	literature		M.musculus
Lhx3	mmu-mir-218-2	NA	NA	Activation	26212498	literature		M.musculus
Lin28b	mmu-let-7	NA	NA	Repression	19713958	literature		M.musculus
Lmx1b	mmu-mir-135a-2	NA	NA	Activation	24348261	literature		M.musculus
MSK	mmu-mir-132	NA	NA	Regulation	20307261	literature		M.musculus
MSK	mmu-mir-212	NA	NA	Regulation	20307261	literature		M.musculus
Mal1	mmu-mir-142	NA	NA	Regulation	22958478	literature		M.musculus
Mcat	mmu-mir-208b	NA	NA	Regulation	23676496	literature		M.musculus
Mecp2	mmu-mir-124-1	NA	NA	Activation(feedback)	24619648	literature		M.musculus
Mef2a	mmu-mir-410	NA	NA	Activation	23154418	literature		M.musculus
Mef2a	mmu-mir-410	NA	NA	Activation	26999812	literature		M.musculus
Mef2a	mmu-mir-433	NA	NA	Activation	23154418	literature		M.musculus
Mef2a	mmu-mir-495	NA	NA	Activation	26999812	literature		M.musculus
Mef2c	mmu-mir-1	NA	NA	Activation	18093911	literature		M.musculus
Mef2c	mmu-mir-133a	NA	NA	Activation	18093911	literature		M.musculus
Mef2c	mmu-mir-133a	NA	NA	Activation	26512955	literature		M.musculus
Mef2c	mmu-mir-133a-1	NA	NA	Activation(feedback)	18093911	literature		M.musculus
Mef2c	mmu-mir-1a-2	NA	NA	Activation	18093911	literature		M.musculus
Men1	mmu-mir-23a	NA	NA	Activation	24824656	literature		M.musculus
Men1	mmu-mir-23b	NA	NA	Activation	24824656	literature		M.musculus
Men1	mmu-mir-24-1	NA	NA	Activation	24824656	literature		M.musculus
Men1	mmu-mir-24-2	NA	NA	Activation	24824656	literature		M.musculus
Men1	mmu-mir-27a	NA	NA	Activation(feedback)	24824656	literature		M.musculus
Men1	mmu-mir-27b	NA	NA	Activation(feedback)	24824656	literature		M.musculus
Mitf	mmu-mir-541	NA	NA	Repression	24722296	literature		M.musculus
Myc	mmu-let-7a	NA	NA	Activation	26676759	literature		M.musculus
Myc	mmu-mir-141	NA	NA	Regulation	19745813	literature		M.musculus
Myc	mmu-mir-15a	NA	NA	Activation	26676759	literature		M.musculus
Myc	mmu-mir-16-1	NA	NA	Activation	26676759	literature		M.musculus
Myc	mmu-mir-17	NA	NA	Activation	24968297	literature		M.musculus
Myc	mmu-mir-18a	NA	NA	Activation	24968297	literature		M.musculus
Myc	mmu-mir-195	NA	NA	Activation	26676759	literature		M.musculus
Myc	mmu-mir-19a	NA	NA	Activation	24968297	literature		M.musculus
Myc	mmu-mir-19b-1	NA	NA	Activation	24968297	literature		M.musculus
Myc	mmu-mir-200	NA	NA	Regulation	19745813	literature		M.musculus
Myc	mmu-mir-20a	NA	NA	Activation(feedback)	24968297	literature		M.musculus
Myc	mmu-mir-23b	NA	NA	Repression	25781629	literature		M.musculus
Myc	mmu-mir-27b	NA	NA	Repression	25781629	literature		M.musculus
Myc	mmu-mir-290	NA	NA	Regulation	19363475	literature		M.musculus
Myc	mmu-mir-294	NA	NA	Regulation	19363475	literature		M.musculus
Myc	mmu-mir-295	NA	NA	Regulation	19363475	literature		M.musculus
Myc	mmu-mir-429	NA	NA	Regulation	19745813	literature		M.musculus
Myc	mmu-mir-497	NA	NA	Activation	26676759	literature		M.musculus
Myc	mmu-mir-92a-1	NA	NA	Activation	24968297	literature		M.musculus
Myd88	mmu-mir-124	NA	NA	Repression	24705038	literature		M.musculus
Myocd	mmu-mir-133a-1	NA	NA	Activation	24068960	literature		M.musculus
Myocd	mmu-mir-143	NA	NA	Activation	19578358	literature		M.musculus
Myocd	mmu-mir-145	NA	NA	Activation	19578358	literature		M.musculus
Myocd	mmu-mir-1a-2	NA	NA	Activation	24068960	literature		M.musculus
Myod1	mmu-mir-133a-1	NA	NA	Activation(feedback)	16731620	literature		M.musculus
Myod1	mmu-mir-133a-1	NA	NA	Activation(feedback)	18093911	literature		M.musculus
Myod1	mmu-mir-133a-2	NA	NA	Activation(feedback)	16731620	literature		M.musculus
Myod1	mmu-mir-182	NA	NA	Activation(feedback)	26234681	literature		M.musculus
Myod1	mmu-mir-1a-1	NA	NA	Activation	16731620	literature		M.musculus
Myod1	mmu-mir-1a-2	NA	NA	Activation	16731620	literature		M.musculus
Myod1	mmu-mir-1a-2	NA	NA	Activation	18093911	literature		M.musculus
Myod1	mmu-mir-206	NA	NA	Activation(feedback)	16731620	literature		M.musculus
Myod1	mmu-mir-29b-2	NA	NA	Activation	22438993	literature		M.musculus
Myod1	mmu-mir-29c	NA	NA	Activation	22438993	literature		M.musculus
Myod1	mmu-mir-675	NA	NA	Activation	23406902	literature		M.musculus
Myog	mmu-mir-133a-1	NA	NA	Activation(feedback)	16731620	literature		M.musculus
Myog	mmu-mir-133a-2	NA	NA	Activation(feedback)	16731620	literature		M.musculus
Myog	mmu-mir-1a-1	NA	NA	Activation	16731620	literature		M.musculus
Myog	mmu-mir-1a-2	NA	NA	Activation	16731620	literature		M.musculus
Myog	mmu-mir-206	NA	NA	Activation	16731620	literature		M.musculus
Nanog	mmu-mir-106a	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-17	NA	NA	Activation	24076654	literature		M.musculus
Nanog	mmu-mir-18a	NA	NA	Activation	24076654	literature		M.musculus
Nanog	mmu-mir-19a	NA	NA	Activation	24076654	literature		M.musculus
Nanog	mmu-mir-19b-1	NA	NA	Activation	24076654	literature		M.musculus
Nanog	mmu-mir-19b-2	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-20a	NA	NA	Activation	24076654	literature		M.musculus
Nanog	mmu-mir-20b	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-290a	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-290b	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-291a	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-291b	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-292a	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-292b	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-293	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-294	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-295	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-302a	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-302b	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-302c	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-302d	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-363	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-367	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-9-2	NA	NA	Regulation	18692474	literature		M.musculus
Nanog	mmu-mir-92a-1	NA	NA	Activation	24076654	literature		M.musculus
Nanog	mmu-mir-92a-2	NA	NA	Regulation	18692474	literature		M.musculus
Neurog1	mmu-mir-9-2	NA	NA	Activation	26271009	literature		M.musculus
Nfatc1	mmu-mir-374	NA	NA	Activation	24335970	literature		M.musculus
Nfatc1	mmu-mir-9-1	NA	NA	Activation	24335970	literature		M.musculus
Nfatc3	mmu-mir-23a	NA	NA	Activation	24336651	literature		M.musculus
Nfatc3	mmu-mir-324	NA	NA	Repression	26633713	literature		M.musculus
Nfe2l2	mmu-mir-29a	NA	NA	Activation	25283360	literature		M.musculus
Nfe2l2	mmu-mir-29b-1	NA	NA	Activation	25283360	literature		M.musculus
Nfe2l2	mmu-mir-29b-2	NA	NA	Activation	25283360	literature		M.musculus
Nfe2l2	mmu-mir-29c	NA	NA	Activation	25283360	literature		M.musculus
Nfe2l2	mmu-mir-466b	NA	NA	Activation	26908462	literature		M.musculus
Nfkb1	mmu-let-7a-1	NA	NA	Activation	24240124	literature		M.musculus
Nfkb1	mmu-mir-146a	NA	NA	Activation	21981419	literature		M.musculus
Nfkb1	mmu-mir-146a	NA	NA	Repression	26538391	literature		M.musculus
Nfkb1	mmu-mir-155	NA	NA	Repression	26538391	literature		M.musculus
Nfkb1	mmu-mir-21	NA	NA	Activation	25000291	literature		M.musculus
Nfkb1	mmu-mir-214	NA	NA	Activation	26171727	literature		M.musculus
Nfkb1	mmu-mir-3077	NA	NA	Activation	23598412	literature		M.musculus
Nfkb1	mmu-mir-466i	NA	NA	Activation	26283478	literature		M.musculus
Nfkb1	mmu-mir-705	NA	NA	Activation	23598412	literature		M.musculus
Nfya	mmu-mir-33a	NA	NA	Repression	27199118	literature		M.musculus
Nfyc	mmu-mir-130b	NA	NA	Activation	25204661	literature		M.musculus
Nfyc	mmu-mir-301b	NA	NA	Activation	25204661	literature		M.musculus
Nkx2-1	mmu-mir-1195	NA	NA	Activation	25763778	literature		M.musculus
Nkx2-1	mmu-mir-200c	NA	NA	Repression	25763778	literature		M.musculus
Nkx2-1	mmu-mir-221	NA	NA	Repression	25763778	literature		M.musculus
Nkx2-5	mmu-mir-143	NA	NA	Activation	19578358	literature		M.musculus
Nkx2-5	mmu-mir-145	NA	NA	Activation	19578358	literature		M.musculus
Nr1h3	mmu-mir-144	NA	NA	Activation	23519695	literature		M.musculus
Nr1h3	mmu-mir-451	NA	NA	Activation	23519695	literature		M.musculus
Nr1h4	mmu-mir-144	NA	NA	Activation	23519696	literature		M.musculus
Nr1h4	mmu-mir-33	NA	NA	Activation	25593129	literature		M.musculus
Nr1h4	mmu-mir-33	NA	NA	Activation	25810294	literature		M.musculus
Nr1h4	mmu-mir-451	NA	NA	Activation	23519696	literature		M.musculus
Nr1i3	mmu-mir-122	NA	NA	Repression	26171734	literature		M.musculus
Nr2f1	mmu-mir-140	NA	NA	Activation	24349493	literature		M.musculus
Nr3c1	mmu-mir-27b	NA	NA	Activation(feedback)	25187367	literature		M.musculus
Nr6a1	mmu-mir-302a	NA	NA	Repression(feedback)	24578347	literature		M.musculus
Onecut1	mmu-mir-122	NA	NA	Activation	21920465	literature		M.musculus
Onecut2	mmu-mir-122	NA	NA	Activation	21920465	literature		M.musculus
PUP2	mmu-let-7	NA	NA	Repression	19713958	literature		M.musculus
Pax6	mmu-mir-124-3	NA	NA	Repression	24773074	literature		M.musculus
Pax6	mmu-mir-204	NA	NA	Activation	23516376	literature		M.musculus
Ped	mmu-mir-125a	NA	NA	Repression	18347971	literature		M.musculus
Pgr	mmu-mir-146b	NA	NA	Regulation	25236432	literature		M.musculus
Pgr	mmu-mir-148a	NA	NA	Regulation	25236432	literature		M.musculus
Pgr	mmu-mir-193b	NA	NA	Regulation	25236432	literature		M.musculus
Pitx2	mmu-mir-106b	NA	NA	Activation	24927531	literature		M.musculus
Pitx2	mmu-mir-106b	NA	NA	Repression	26055324	literature		M.musculus
Pitx2	mmu-mir-141	NA	NA	Activation	23863486	literature		M.musculus
Pitx2	mmu-mir-15b	NA	NA	Repression	26055324	literature		M.musculus
Pitx2	mmu-mir-17	NA	NA	Activation(feedback)	24927531	literature		M.musculus
Pitx2	mmu-mir-18a	NA	NA	Activation	24927531	literature		M.musculus
Pitx2	mmu-mir-19a	NA	NA	Activation	24927531	literature		M.musculus
Pitx2	mmu-mir-19b-1	NA	NA	Activation	24927531	literature		M.musculus
Pitx2	mmu-mir-200a	NA	NA	Activation	25122764	literature		M.musculus
Pitx2	mmu-mir-200b	NA	NA	Activation	25122764	literature		M.musculus
Pitx2	mmu-mir-200c	NA	NA	Activation	23863486	literature		M.musculus
Pitx2	mmu-mir-20a	NA	NA	Activation(feedback)	24927531	literature		M.musculus
Pitx2	mmu-mir-23b	NA	NA	Repression	26055324	literature		M.musculus
Pitx2	mmu-mir-25	NA	NA	Activation	24927531	literature		M.musculus
Pitx2	mmu-mir-335	NA	NA	Activation	24927531	literature		M.musculus
Pitx2	mmu-mir-423	NA	NA	Activation	24927531	literature		M.musculus
Pitx2	mmu-mir-429	NA	NA	Activation	25122764	literature		M.musculus
Pitx2	mmu-mir-503	NA	NA	Repression	26055324	literature		M.musculus
Pitx2	mmu-mir-92a-1	NA	NA	Activation	24927531	literature		M.musculus
Pitx2	mmu-mir-93	NA	NA	Activation	24927531	literature		M.musculus
Pitx3	mmu-mir-133b	NA	NA	Activation(feedback)	17761882	literature		M.musculus
Pou2af1	mmu-mir-146a	NA	NA	Activation	24719463	literature		M.musculus
Pou2af1	mmu-mir-210	NA	NA	Activation	24719463	literature		M.musculus
Pou2f1	mmu-let-7g	NA	NA	Activation	22135361	literature		M.musculus
Pou2f2	mmu-mir-210	NA	NA	Activation	23960236	literature		M.musculus
Pou5f1	mmu-mir-106a	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-141	NA	NA	Activation	23386720	literature		M.musculus
Pou5f1	mmu-mir-19b-2	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-200a	NA	NA	Activation	23386720	literature		M.musculus
Pou5f1	mmu-mir-200b	NA	NA	Activation	23386720	literature		M.musculus
Pou5f1	mmu-mir-200c	NA	NA	Activation	23386720	literature		M.musculus
Pou5f1	mmu-mir-20b	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-290a	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-290b	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-291a	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-291b	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-292a	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-292b	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-293	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-294	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-295	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-302a	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-302a	NA	NA	Activation	20857206	literature		M.musculus
Pou5f1	mmu-mir-302a	NA	NA	Regulation	20857206	literature		M.musculus
Pou5f1	mmu-mir-302a	NA	NA	Activation	22100412	literature		M.musculus
Pou5f1	mmu-mir-302b	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-302b	NA	NA	Activation	20857206	literature		M.musculus
Pou5f1	mmu-mir-302b	NA	NA	Regulation	20857206	literature		M.musculus
Pou5f1	mmu-mir-302b	NA	NA	Activation	22100412	literature		M.musculus
Pou5f1	mmu-mir-302c	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-302c	NA	NA	Activation	20857206	literature		M.musculus
Pou5f1	mmu-mir-302c	NA	NA	Regulation	20857206	literature		M.musculus
Pou5f1	mmu-mir-302c	NA	NA	Activation	22100412	literature		M.musculus
Pou5f1	mmu-mir-302d	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-302d	NA	NA	Activation	20857206	literature		M.musculus
Pou5f1	mmu-mir-302d	NA	NA	Regulation	20857206	literature		M.musculus
Pou5f1	mmu-mir-302d	NA	NA	Activation	22100412	literature		M.musculus
Pou5f1	mmu-mir-363	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-367	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-367	NA	NA	Activation	20857206	literature		M.musculus
Pou5f1	mmu-mir-367	NA	NA	Activation	22100412	literature		M.musculus
Pou5f1	mmu-mir-429	NA	NA	Activation	23386720	literature		M.musculus
Pou5f1	mmu-mir-9-2	NA	NA	Activation	18692474	literature		M.musculus
Pou5f1	mmu-mir-92a-2	NA	NA	Activation	18692474	literature		M.musculus
Ppara	mmu-mir-193b	NA	NA	Activation(feedback)	21743466	literature		M.musculus
Ppara	mmu-mir-208b	NA	NA	Repression	23676496	literature		M.musculus
Ppara	mmu-mir-365	NA	NA	Activation	21743466	literature		M.musculus
Ppara	mmu-mir-499	NA	NA	Repression	23676496	literature		M.musculus
Pparg	mmu-mir-103-1	NA	NA	Activation	22319216	literature		M.musculus
Pparg	mmu-mir-148b	NA	NA	Activation	22319216	literature		M.musculus
Pparg	mmu-mir-182	NA	NA	Activation	22319216	literature		M.musculus
Pparg	mmu-mir-183	NA	NA	Activation	22319216	literature		M.musculus
Pparg	mmu-mir-205	NA	NA	Activation	22319216	literature		M.musculus
Pparg	mmu-mir-223	NA	NA	Activation	26436647	literature		M.musculus
Pparg	mmu-mir-378	NA	NA	Activation	22319216	literature		M.musculus
Pparg	mmu-mir-96	NA	NA	Activation	22319216	literature		M.musculus
Prdm1	mmu-let-7c	NA	NA	Repression	23298838	literature		M.musculus
Rapgef3	mmu-mir-124	NA	NA	Activation	22365550	literature		M.musculus
Rbpj	mmu-mir-125a	NA	NA	Activation	26759236	literature		M.musculus
Rbpj	mmu-mir-155	NA	NA	Repression(feedback)	24996169	literature		M.musculus
Rbpj	mmu-mir-182	NA	NA	Repression	27183593	literature		M.musculus
Rbpj	mmu-mir-99b	NA	NA	Activation	26759236	literature		M.musculus
Rela	mmu-mir-100	NA	NA	Activation	25757558	literature		M.musculus
Rela	mmu-mir-124-1	NA	NA	Activation(feedback)	25539811	literature		M.musculus
Rela	mmu-mir-124-3	NA	NA	Activation(feedback)	25539811	literature		M.musculus
Rela	mmu-mir-130	NA	NA	Activation	24396868	literature		M.musculus
Rela	mmu-mir-146a	NA	NA	Activation	25757558	literature		M.musculus
Rela	mmu-mir-146a	NA	NA	Activation	26538391	literature		M.musculus
Rela	mmu-mir-150	NA	NA	Activation	25757558	literature		M.musculus
Rela	mmu-mir-155	NA	NA	Activation	26538391	literature		M.musculus
Rela	mmu-mir-195	NA	NA	Repression	26567220	literature		M.musculus
Rela	mmu-mir-21	NA	NA	Activation	25130469	literature		M.musculus
Rela	mmu-mir-26a	NA	NA	Repression	26182366	literature		M.musculus
Rela	mmu-mir-31	NA	NA	Activation	26138368	literature		M.musculus
Rela	mmu-mir-31	NA	NA	Activation	26164206	literature		M.musculus
Rela	mmu-mir-33a	NA	NA	Activation	24360166	literature		M.musculus
Rela	mmu-mir-375	NA	NA	Activation	28119452	literature		M.musculus
Rela	mmu-mir-497	NA	NA	Repression	26567220	literature		M.musculus
Rela	mmu-mir-705	NA	NA	Activation	26700816	literature		M.musculus
Rest	mmu-mir-124	NA	NA	Repression	23145961	literature		M.musculus
Rest	mmu-mir-124-1	NA	NA	Regulation	16461918	literature		M.musculus
Rest	mmu-mir-124-2	NA	NA	Regulation	16461918	literature		M.musculus
Rest	mmu-mir-124-3	NA	NA	Regulation	16461918	literature		M.musculus
Rest	mmu-mir-132	NA	NA	Regulation	16461918	literature		M.musculus
Rest	mmu-mir-132	NA	NA	Repression	23145961	literature		M.musculus
Rest	mmu-mir-135b	NA	NA	Repression	23145961	literature		M.musculus
Rest	mmu-mir-137	NA	NA	Repression	23145961	literature		M.musculus
Rest	mmu-mir-153	NA	NA	Repression	23145961	literature		M.musculus
Rest	mmu-mir-21	NA	NA	Repression	26209818	literature		M.musculus
Rest	mmu-mir-212	NA	NA	Regulation	16461918	literature		M.musculus
Rest	mmu-mir-212	NA	NA	Repression	23145961	literature		M.musculus
Rest	mmu-mir-29b	NA	NA	Repression	23145961	literature		M.musculus
Rest	mmu-mir-9	NA	NA	Repression	23145961	literature		M.musculus
Rest	mmu-mir-9-1	NA	NA	Regulation(feedback)	16461918	literature		M.musculus
Rest	mmu-mir-9-2	NA	NA	Regulation(feedback)	16461918	literature		M.musculus
Rest	mmu-mir-9-3	NA	NA	Regulation(feedback)	16461918	literature		M.musculus
Runx1	mmu-mir-142	NA	NA	Activation	23509362	literature		M.musculus
Runx1	mmu-mir-142	NA	NA	Repression	27837403	literature		M.musculus
Runx1	mmu-mir-144	NA	NA	Repression	27837403	literature		M.musculus
Runx1	mmu-mir-451a	NA	NA	Repression	27837403	literature		M.musculus
Runx1	mmu-mir-451b	NA	NA	Repression	27837403	literature		M.musculus
Runx2	mmu-mir-302a	NA	NA	Activation	25215426	literature		M.musculus
Runx2	mmu-mir-690	NA	NA	Activation	26877865	literature		M.musculus
Sf1	mmu-mir-202	NA	NA	Activation	23843232	literature		M.musculus
Sf1	mmu-mir-383	NA	NA	Activation	24828505	literature		M.musculus
Sirt1	mmu-mir-134	NA	NA	Repression	20622856	literature		M.musculus
